id,garden_points_status,commitment_months,participation_history,project_focus_code,requested_resources_value,personal_reserve_status,volunteer_tenure_bracket,time_commitment_rate,household_profile,co_sponsor_presence,years_in_neighborhood_bracket,asset_contribution_type,member_age,other_support_plans,housing_situation,existing_commitments_count,role_skill_tier,dependents_supported,has_phone,newcomer_status,support_outcome
829,Points negative,36.0,Previous roles completed,Transport (used),8335.0,No reserve,>=7,3.0,Single adult,No co-sponsor,4.0,No tangible assets,47.0,None,Hosted / no rent,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
998,No points account,12.0,Previous roles completed,Communications equipment,804.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,38.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
149,Points negative,36.0,Issues on prior roles,Workshop equipment,5371.0,Reserve: <100,1<=X<4,3.0,Single adult,Mentor sponsor,2.0,Long-term fund,28.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
736,Points 0–199,36.0,All roles on time,Shared appliances,3990.0,No reserve,<1,3.0,Adult w/ dependents or shared household,No co-sponsor,2.0,No tangible assets,29.0,Partner bank,Own housing,1.0,Unemployed / non-resident unskilled,1.0,No phone,Newcomer,good
131,Points 0–199,48.0,Previous roles completed,Transport (new),8487.0,No reserve,4<=X<7,1.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,24.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
655,No points account,24.0,Issues on prior roles,Transport (used),2346.0,Reserve: <100,4<=X<7,4.0,Single adult,No co-sponsor,3.0,Shared tools,35.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
785,Points 0–199,20.0,Previous roles completed,Transport (used),6468.0,No reserve,unemployed,1.0,Recently separated household,No co-sponsor,4.0,Community plot share,60.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
319,No points account,12.0,Issues on prior roles,Training / education,701.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Shared tools,32.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
273,Points 0–199,48.0,All roles on time,Transport (new),12169.0,No reserve,unemployed,4.0,Single adult,Co-gardener sponsor,4.0,No tangible assets,36.0,None,Hosted / no rent,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
784,Points 0–199,12.0,Previous roles completed,Transport (new),836.0,Reserve: 100–499,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Long-term fund,23.0,Partner bank,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,bad
568,No points account,24.0,Issues on prior roles,Communications equipment,2578.0,Reserve: ≥1000,>=7,2.0,Single adult,No co-sponsor,2.0,Shared tools,34.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
321,Points 0–199,30.0,Issues on prior roles,Transport (new),4249.0,Reserve: <100,unemployed,4.0,Committed/shared household,No co-sponsor,2.0,Shared tools,28.0,None,Own housing,2.0,Highly skilled / lead,1.0,No phone,Newcomer,bad
212,No points account,36.0,Previous roles completed,Communications equipment,3835.0,No reserve,>=7,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,45.0,None,Own housing,1.0,Unskilled resident,1.0,Has phone,Newcomer,good
783,Points 0–199,12.0,No prior roles / all on time,Retraining,1410.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Community plot share,31.0,None,Own housing,1.0,Unskilled resident,1.0,Has phone,Newcomer,good
368,Points negative,18.0,Previous roles completed,Workshop equipment,3650.0,Reserve: <100,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,22.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
971,Points 0–199,15.0,Previous roles completed,Plot repairs,1514.0,Reserve: 100–499,1<=X<4,4.0,Single adult,Mentor sponsor,2.0,Community plot share,22.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
897,Points negative,21.0,Previous roles completed,Communications equipment,2606.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,28.0,None,Rented housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
931,Points negative,24.0,Previous roles completed,Workshop equipment,1747.0,Reserve: <100,<1,4.0,Single adult,Co-gardener sponsor,1.0,Long-term fund,24.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Local resident,good
252,Points 200+,12.0,Previous roles completed,Workshop equipment,2251.0,Reserve: <100,1<=X<4,1.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,46.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
391,No points account,18.0,Previous roles completed,Transport (new),1820.0,Reserve: <100,1<=X<4,2.0,Committed/shared household,No co-sponsor,2.0,Long-term fund,30.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
742,Points 0–199,10.0,All roles on time,Communications equipment,1048.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,4.0,Community plot share,23.0,Partner stores,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
553,Points negative,48.0,Previous roles completed,Communications equipment,6999.0,Reserve: <100,4<=X<7,1.0,Committed/shared household,Mentor sponsor,1.0,Community plot share,34.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
288,Points 0–199,48.0,Delayed in prior commitments,Other project,7582.0,Reserve: 100–499,unemployed,2.0,Single adult,No co-sponsor,4.0,No tangible assets,31.0,None,Hosted / no rent,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
653,Points negative,24.0,Previous roles completed,Transport (new),2303.0,Reserve: <100,>=7,4.0,Single adult,Co-gardener sponsor,1.0,Community plot share,45.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
