id,y_pred
31,good
129,good
290,bad
217,bad
967,good
347,good
538,good
48,good
113,good
876,good
47,good
669,good
235,good
725,good
762,good
431,good
188,good
260,good
572,good
682,good
515,good
878,good
413,good
571,bad
802,good
780,good
160,good
563,good
684,good
86,good
552,good
330,good
123,good
888,bad
672,good
679,bad
339,good
12,bad
22,good
819,bad
859,good
274,good
318,good
374,good
730,good
934,good
832,bad
740,bad
278,good
436,good
7,good
277,good
331,good
2,good
167,bad
797,good
474,good
139,good
200,good
841,bad
937,good
854,bad
44,good
432,bad
648,good
384,good
804,good
818,good
916,bad
142,bad
237,good
945,good
434,good
464,good
932,bad
507,good
800,good
229,good
236,bad
609,good
529,bad
683,good
654,good
533,good
172,good
666,good
525,good
380,good
549,good
542,good
939,good
338,bad
664,good
855,good
309,good
663,good
833,bad
193,good
805,good
283,good
116,good
373,good
857,good
845,good
716,good
84,bad
846,good
710,good
39,good
599,good
305,good
191,good
659,bad
220,good
718,good
90,good
195,good
134,good
456,good
665,good
794,good
130,good
143,good
658,good
478,good
807,good
699,good
621,good
348,good
258,bad
71,good
405,good
396,good
222,good
595,bad
752,bad
795,good
801,good
803,good
588,good
466,good
954,bad
773,good
891,good
692,good
511,good
545,good
524,good
792,good
486,good
942,good
948,good
221,good
697,good
747,good
108,good
997,good
922,good
264,good
14,good
376,bad
975,good
999,bad
284,good
135,good
79,good
337,bad
354,bad
183,bad
298,good
564,good
535,good
168,good
3,good
29,good
994,good
861,good
179,good
789,good
294,good
297,good
262,bad
700,good
230,bad
993,bad
918,good
678,good
726,good
849,good
743,good
65,good
356,bad
23,good
580,good
97,good
523,bad
978,good
53,good
543,bad
424,good
